Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-03-08,2021-03-08,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-08,Gym Membership
2021-07-13,2021-07-13,Gold Paid in Full,2021-07-13,Gym Membership
2021-03-25,2021-03-25,Platinum Monthly (Pay w Routing/Acct Only),2021-03-25,Gym Membership
2021-05-17,2021-05-17,Gold Monthly (Pay w/Routing&Acct Only),2021-05-17,Gym Membership
2021-04-13,2021-04-13,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-13,Gym Membership
2021-04-29,2021-04-29,Platinum Monthly (Pay w Routing/Acct Only),2021-04-29,Gym Membership
2021-02-18,2021-02-18,Platinum Monthly (No Commitment),2021-02-18,Gym Membership
2021-05-18,2021-05-18,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-18,Gym Membership
2021-06-30,2021-06-30,Platinum Monthly (Pay w Routing/Acct Only),2021-06-30,Gym Membership
2021-10-20,2021-10-21,Platinum Monthly (Pay w Routing/Acct Only),2021-10-20,Gym Membership
2021-02-03,2021-02-03,Platinum Monthly (Pay w Routing/Acct Only),2021-02-03,Gym Membership
2021-08-02,2021-08-02,Sport Nutritionist (59.99/month x 6 months)  ,2021-08-02,Personal Training 
2021-02-20,2021-02-20,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-20,Gym Membership
2021-02-15,2021-02-15,Platinum Monthly (No Commitment),2021-02-15,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-08-15,2021-08-15,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-15,Gym Membership
2021-07-28,2021-07-28,Gold Monthly (No Commitment),2021-07-28,Gym Membership
2021-07-06,2021-07-06,Platinum Monthly (Pay w Routing/Acct Only),2021-07-06,Gym Membership
2021-04-14,2021-04-14,Platinum Monthly (Pay w Routing/Acct Only),2021-04-14,Gym Membership
2021-09-21,2021-09-21,Gold Monthly (No Commitment),2021-09-21,Gym Membership
2021-05-20,2021-05-20,Gold Monthly (Pay w/Routing&Acct Only),2021-05-20,Gym Membership
2021-05-03,2021-05-03,Platinum Monthly (Pay w Routing/Acct Only),2021-05-03,Gym Membership
2021-06-04,2021-06-04,Gold Monthly ($2.99 Debit/CC Fee),2021-06-04,Gym Membership
2021-04-04,2021-04-04,Gold Monthly (Pay w/Routing&Acct Only),2021-04-04,Gym Membership
2021-05-09,2021-05-09,Platinum Paid in Full,2021-05-09,Gym Membership
2021-03-24,2021-03-24,Gold Monthly (Pay w/Routing&Acct Only),2021-03-24,Gym Membership
2021-06-24,2021-06-24,Platinum Monthly (Pay w Routing/Acct Only),2021-06-24,Gym Membership
2021-04-06,2021-04-06,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-06,Gym Membership
2021-02-26,2021-02-26,Platinum Paid in Full,2021-02-26,Gym Membership
2021-04-05,2021-04-05,Gold Monthly (Pay w/Routing&Acct Only),2021-04-05,Gym Membership
2021-10-03,2021-10-03,Platinum Monthly (Pay w Routing/Acct Only),2021-10-03,Gym Membership
2021-07-20,2021-07-20,Gold Paid in Full,2021-07-20,Gym Membership
2021-08-30,2021-08-30,Gold Monthly (Pay w/Routing&Acct Only),2021-08-30,Gym Membership
2021-03-15,2021-03-15,Gold Monthly (Pay w/Routing&Acct Only),2021-03-15,Gym Membership
2021-01-23,2021-01-23,Gold Monthly ($2.99 CC Fee),2021-01-23,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-02-15,2021-02-15,Gold Monthly (Pay w/Routing&Acct Only),2021-02-15,Gym Membership
2018-03-26,2021-02-25,Gold Monthly (Pay w/Routing&Acct Only),2021-02-25,Gym Membership
2021-02-19,2021-02-19,Gold Monthly (Pay w/Routing&Acct Only),2021-02-19,Gym Membership
2021-01-06,2021-01-06,Platinum Monthly ($2.99 CC Fee),2021-01-06,Gym Membership
2021-01-06,2021-01-06,Platinum Monthly ($2.99 CC Fee),2021-01-06,Gym Membership
2021-09-21,2021-09-21,Gold Monthly (No Commitment),2021-09-21,Gym Membership
2021-07-21,2021-07-21,Platinum Monthly (Pay w Routing/Acct Only),2021-07-21,Gym Membership
2021-03-01,2021-03-01,Platinum Monthly (Pay w Routing/Acct Only),2021-03-01,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-08-04,2021-08-04,Gold Monthly (Pay w/Routing&Acct Only),2021-08-04,Gym Membership
2021-03-03,2021-03-03,Platinum Monthly (No Commitment),2021-03-03,Gym Membership
2021-03-16,2021-03-16,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-16,Gym Membership
2021-05-20,2021-05-20,Platinum Paid in Full,2021-05-20,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-03-27,2021-03-27,Platinum Monthly (Pay w Routing/Acct Only),2021-03-27,Gym Membership
2021-06-17,2021-06-17,1x/week for 3 Months(Paid in Full),2021-06-17,Personal Training 
2020-01-16,2021-06-01,SILVER SNEAKERS ,2021-06-01,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (Pay w Routing/Acct Only),2021-04-19,Gym Membership
2021-01-31,2021-01-31,Platinum Monthly ($2.99 CC Fee),2021-01-31,Gym Membership
2021-06-29,2021-06-29,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-29,Gym Membership
2021-03-10,2021-03-10,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-10,Gym Membership
2021-07-27,2021-07-27,Gold Monthly (Pay w/Routing&Acct Only),2021-07-27,Gym Membership
2021-07-05,2021-07-05,Gold Monthly (Pay w/Routing&Acct Only),2021-07-05,Gym Membership
2021-07-27,2021-07-27,Gold Monthly (No Commitment),2021-07-27,Gym Membership
2021-03-18,2021-03-18,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-18,Gym Membership
2021-02-02,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-02,Gym Membership
2021-02-25,2021-02-25,Platinum Monthly (Pay w Routing/Acct Only),2021-02-25,Gym Membership
2021-08-09,2021-08-09,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-09,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (No Commitment),2021-04-14,Gym Membership
2021-02-22,2021-02-22,SILVER SNEAKERS ,2021-02-22,Gym Membership
2021-08-02,2021-08-02,Platinum Monthly (Pay w Routing/Acct Only),2021-08-02,Gym Membership
2021-01-13,2021-01-13,Gold Monthly ($2.99 CC Fee),2021-01-13,Gym Membership
2019-02-03,2021-04-12,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-12,Gym Membership
2021-02-24,2021-02-24,Platinum Monthly (Pay w Routing/Acct Only),2021-02-24,Gym Membership
2021-04-19,2021-04-19,Platinum Monthly (Pay w Routing/Acct Only),2021-04-19,Gym Membership
2021-03-23,2021-03-23,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-23,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-10-11,2021-10-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-10-11,Gym Membership
2021-03-18,2021-03-18,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-18,Gym Membership
2021-06-07,2021-06-07,Platinum Monthly (Pay w Routing/Acct Only),2021-06-07,Gym Membership
2021-06-01,2021-06-01,Gold Monthly ($2.99 CC Fee),2021-06-01,Gym Membership
2021-05-20,2021-05-20,Gold Monthly (Pay w/Routing&Acct Only),2021-05-20,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-03-16,2021-03-16,Gold Monthly (Pay w/Routing&Acct Only),2021-03-16,Gym Membership
2021-06-09,2020-05-27,Diamond Monthly,2020-05-27,Gym Membership
2021-05-09,2021-05-09,Gold Monthly (Pay w/Routing&Acct Only),2021-05-09,Gym Membership
2021-03-19,2021-03-19,Gold Monthly (Pay w/Routing&Acct Only),2021-03-19,Gym Membership
2021-09-21,2021-09-21,Gold Monthly (Pay w/Routing&Acct Only),2021-09-21,Gym Membership
2021-05-12,2021-05-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-12,Gym Membership
2021-02-01,2021-02-01,Platinum Monthly (Pay w Routing/Acct Only),2021-02-01,Gym Membership
2021-07-12,2021-07-12,Gold Monthly (Pay w/Routing&Acct Only),2021-07-12,Gym Membership
2021-06-10,2021-06-10,Gold Monthly (Pay w/Routing&Acct Only),2021-06-10,Gym Membership
2021-10-04,2021-10-04,Gold Monthly (Pay w/Routing&Acct Only),2021-10-04,Gym Membership
2021-09-14,2021-09-14,Gold Monthly (Pay w/Routing&Acct Only),2021-09-14,Gym Membership
2021-05-05,2021-05-05,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-05,Gym Membership
2021-10-04,2021-10-04,Platinum Monthly (No Commitment),2021-10-04,Gym Membership
2021-08-12,2021-08-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-12,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-01-18,2021-01-19,Platinum Monthly ($2.99 CC Fee),2021-01-18,Gym Membership
2021-04-07,2021-04-07,Diamond Paid in Full,2021-04-07,Gym Membership
2021-08-13,2021-08-13,Diamond Monthly ($2.99 Debit/CC Fee),2021-08-13,Gym Membership
2021-06-29,2021-06-29,Gold Monthly (Pay w/Routing&Acct Only),2021-06-29,Gym Membership
2021-06-09,2021-06-09,Gold Monthly (Pay w/Routing&Acct Only),2021-06-09,Gym Membership
2021-07-07,2021-07-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-07,Gym Membership
2021-10-23,2021-10-23,Platinum Monthly (No Commitment),2021-10-23,Gym Membership
2021-01-11,2021-01-11,Gold Monthly ($2.99 CC Fee),2021-01-11,Gym Membership
2021-04-24,2021-04-24,Gold Monthly (Pay w/Routing&Acct Only),2021-04-24,Gym Membership
2021-08-23,2021-08-23,Diamond Monthly (Pay w/Routing&Acct Only),2021-08-23,Gym Membership
2021-06-09,2021-06-09,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-09,Gym Membership
2017-06-25,2021-01-21,Gold Monthly ($2.99 CC Fee),2021-01-21,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-01-11,2021-01-11,Gold Monthly (Pay w/Routing&Acct Only),2021-01-11,Gym Membership
2021-08-04,2021-08-04,Gold Monthly (Pay w/Routing&Acct Only),2021-08-04,Gym Membership
2021-01-09,2021-01-09,Platinum Monthly ($2.99 CC Fee),2021-01-09,Gym Membership
2021-08-30,2021-08-30,Gold Monthly (Pay w/Routing&Acct Only),2021-08-30,Gym Membership
2021-05-31,2021-05-31,Gold Monthly (Pay w/Routing&Acct Only),2021-05-31,Gym Membership
2021-03-09,2021-03-09,Diamond Monthly (No Commitment) ,2021-03-09,Gym Membership
2021-07-21,2021-07-21,Platinum Monthly (Pay w Routing/Acct Only),2021-07-21,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-08-10,2021-08-10,Platinum Monthly (Pay w Routing/Acct Only),2021-08-10,Gym Membership
2021-05-24,2021-05-24,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-24,Gym Membership
2021-04-11,2021-04-11,Platinum Paid in Full,2021-04-11,Gym Membership
2021-04-26,2021-04-26,Diamond Paid in Full,2021-04-26,Gym Membership
2021-03-21,2021-03-21,Platinum Monthly (No Commitment),2021-03-21,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-05-08,2021-05-08,Gold Monthly (Pay w/Routing&Acct Only),2021-05-08,Gym Membership
2021-02-10,2021-02-10,Platinum Paid in Full,2021-02-10,Gym Membership
2021-05-16,2021-05-16,Gold Monthly (Pay w/Routing&Acct Only),2021-05-16,Gym Membership
2021-02-22,2021-02-22,Platinum Monthly (Pay w Routing/Acct Only),2021-02-22,Gym Membership
2021-01-18,2021-01-18,Gold Monthly ($2.99 CC Fee),2021-01-18,Gym Membership
2021-07-12,2021-07-12,Diamond Monthly ($2.99 Debit/CC Fee),2021-07-12,Gym Membership
2021-05-19,2021-05-19,Platinum Monthly (Pay w Routing/Acct Only),2021-05-19,Gym Membership
2021-02-12,2021-02-12,Platinum Monthly (Pay w Routing/Acct Only),2021-02-12,Gym Membership
2021-06-28,2021-06-28,SILVER SNEAKERS ,2021-06-28,Gym Membership
2021-08-24,2021-08-24,Platinum Monthly (Pay w Routing/Acct Only),2021-08-24,Gym Membership
2021-06-07,2021-06-07,Platinum Monthly (Pay w Routing/Acct Only),2021-06-07,Gym Membership
2021-07-31,2021-07-31,Platinum Monthly (Pay w Routing/Acct Only),2021-07-31,Gym Membership
2021-06-18,2021-06-18,Platinum Monthly (Pay w Routing/Acct Only),2021-06-18,Gym Membership
2021-02-23,2021-02-23,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-23,Gym Membership
2021-01-22,2021-01-22,Platinum Paid in Full ($10 Signup Limited Time Offer),2021-01-22,Gym Membership
2021-10-26,2021-10-26,Platinum Monthly (Pay w Routing/Acct Only),2021-10-26,Gym Membership
2021-01-24,2021-01-24,Gold Monthly ($2.99 CC Fee),2021-01-24,Gym Membership
2021-02-25,2021-02-25,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-25,Gym Membership
2021-01-15,2021-01-15,Gold Monthly ($2.99 CC Fee),2021-01-15,Gym Membership
2021-05-23,2021-05-23,Platinum Monthly (Pay w Routing/Acct Only),2021-05-23,Gym Membership
2021-03-25,2021-03-25,SILVER SNEAKERS ,2021-03-25,Gym Membership
2021-03-23,2021-03-23,SILVER SNEAKERS ,2021-03-23,Gym Membership
2021-02-19,2021-02-19,Gold Monthly (Pay w/Routing&Acct Only),2021-02-19,Gym Membership
2021-02-25,2021-02-25,Platinum Monthly (Pay w Routing/Acct Only),2021-02-25,Gym Membership
2021-06-14,2021-06-14,Platinum Monthly (Pay w Routing/Acct Only),2021-06-14,Gym Membership
2021-01-13,2021-01-13,Diamond Monthly ($2.99 CC Fee)  ,2021-01-13,Gym Membership
2021-01-29,2021-02-01,Platinum Monthly (Pay w Routing/Acct Only),2021-01-29,Gym Membership
2021-03-23,2021-03-23,Platinum Paid in Full,2021-03-23,Gym Membership
2021-03-22,2021-03-22,Platinum Monthly (Pay w Routing/Acct Only),2021-03-22,Gym Membership
2021-02-22,2021-02-22,Gold Monthly (Pay w/Routing&Acct Only),2021-02-22,Gym Membership
2021-01-17,2021-01-17,Platinum Monthly ($2.99 CC Fee),2021-01-17,Gym Membership
2021-08-25,2021-08-25,Platinum Monthly (No Commitment),2021-08-25,Gym Membership
2021-06-16,2021-06-16,Gold Monthly (Pay w/Routing&Acct Only),2021-06-16,Gym Membership
2021-03-12,2021-03-12,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-12,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (Pay w/Routing&Acct Only),2021-04-14,Gym Membership
2021-02-12,2021-02-12,Gold Monthly (Pay w/Routing&Acct Only),2021-02-12,Gym Membership
2021-04-18,2021-04-18,Platinum Monthly (Pay w Routing/Acct Only),2021-04-18,Gym Membership
2021-04-18,2021-04-18,Platinum Monthly (Pay w Routing/Acct Only),2021-04-18,Gym Membership
2021-01-26,2021-01-26,Platinum Monthly ($2.99 CC Fee),2021-01-26,Gym Membership
2021-08-26,2021-08-26,Gold Monthly ($2.99 Debit/CC Fee),2021-08-26,Gym Membership
2021-04-27,2021-04-27,Gold Monthly ($2.99 Debit/CC Fee),2021-04-27,Gym Membership
2021-04-15,2021-04-15,Gold Monthly (Pay w/Routing&Acct Only),2021-04-15,Gym Membership
2021-04-08,2021-04-08,Platinum Monthly (Pay w Routing/Acct Only),2021-04-08,Gym Membership
2021-01-12,2021-01-12,Gold Monthly,2021-01-12,Gym Membership
2021-08-14,2021-08-14,Platinum Monthly (Pay w Routing/Acct Only),2021-08-14,Gym Membership
2021-06-23,2021-06-27,Platinum Monthly (Pay w Routing/Acct Only),2021-06-23,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (No Commitment),2021-04-21,Gym Membership
2021-03-27,2021-03-27,Platinum Monthly (Pay w Routing/Acct Only),2021-03-27,Gym Membership
2021-02-10,2021-02-10,Platinum Monthly (Pay w Routing/Acct Only),2021-02-10,Gym Membership
2021-06-20,2021-06-20,Gold Monthly,2021-06-20,Gym Membership
2021-05-03,2021-05-03,Diamond Monthly (No Commitment) ,2021-05-03,Gym Membership
2021-08-22,2021-08-22,Platinum Monthly (Pay w Routing/Acct Only),2021-08-22,Gym Membership
2021-03-16,2021-03-16,Gold Paid in Full,2021-03-16,Gym Membership
2021-09-28,2021-09-28,Diamond Monthly (Pay w/Routing&Acct Only),2021-09-28,Gym Membership
2021-07-25,2021-07-25,Platinum Monthly (Pay w Routing/Acct Only),2021-07-25,Gym Membership
2021-10-22,2021-10-22,Gold Monthly (Pay w/Routing&Acct Only),2021-10-22,Gym Membership
2021-06-12,2021-06-12,Platinum Monthly (Pay w Routing/Acct Only),2021-06-12,Gym Membership
2021-10-22,2021-10-22,3x wk 6 months ($540 monthly $3240),2021-10-22,Personal Training 
2021-03-01,2021-03-01,Gold Monthly (Pay w/Routing&Acct Only),2021-03-01,Gym Membership
2021-03-31,2021-03-31,Platinum Paid in Full,2021-03-31,Gym Membership
2021-04-16,2021-04-16,Platinum Monthly (Pay w Routing/Acct Only),2021-04-16,Gym Membership
2021-01-11,2021-01-11,Platinum Monthly (No Commitment),2021-01-11,Gym Membership
2021-03-14,2021-03-14,Gold Monthly (Pay w/Routing&Acct Only),2021-03-14,Gym Membership
2021-05-12,2021-05-12,Gold Monthly (Pay w/Routing&Acct Only),2021-05-12,Gym Membership
2021-09-23,2021-09-23,Diamond Monthly (Pay w/Routing&Acct Only),2021-09-23,Gym Membership
2021-02-20,2021-02-20,Gold Paid in Full,2021-02-20,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-03-11,2021-03-11,Gold Paid in Full,2021-03-11,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-07-11,2021-07-11,Gold Paid in Full,2021-07-11,Gym Membership
2021-01-25,2021-01-25,Gold Monthly ($2.99 CC Fee),2021-01-25,Gym Membership
2021-05-10,2021-05-10,Gold Monthly (Pay w/Routing&Acct Only),2021-05-10,Gym Membership
2021-07-21,2021-07-21,Gold Paid in Full,2021-07-21,Gym Membership
2021-01-25,2021-01-25,Gold Monthly ($2.99 CC Fee),2021-01-25,Gym Membership
2021-01-19,2021-01-19,Gold Monthly ($2.99 CC Fee),2021-01-19,Gym Membership
2019-02-16,2021-03-22,Platinum Monthly (Pay w Routing/Acct Only),2021-03-22,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly (Pay w Routing/Acct Only),2021-07-19,Gym Membership
2021-05-13,2021-05-13,Gold Monthly (Pay w/Routing&Acct Only),2021-05-13,Gym Membership
2021-06-17,2021-06-17,Platinum Monthly (Pay w Routing/Acct Only),2021-06-17,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-07-12,2021-07-12,Diamond Monthly (No Commitment) ,2021-07-12,Gym Membership
2021-06-12,2021-06-12,Platinum Monthly (Pay w Routing/Acct Only),2021-06-12,Gym Membership
2021-08-22,2021-08-22,Gold Monthly (Pay w/Routing&Acct Only),2021-08-22,Gym Membership
2021-04-20,2021-04-20,Platinum Monthly (No Commitment),2021-04-20,Gym Membership
2018-03-12,2021-02-21,Gold Monthly (No Commitment),2021-02-21,Gym Membership
2021-04-11,2021-04-11,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-11,Gym Membership
2021-10-27,2021-10-27,Platinum Monthly (Pay w Routing/Acct Only),2021-10-27,Gym Membership
2021-07-21,2021-07-21,Platinum Monthly (Pay w Routing/Acct Only),2021-07-21,Gym Membership
2021-04-28,2021-04-28,Gold Monthly (Pay w/Routing&Acct Only),2021-04-28,Gym Membership
2021-06-08,2021-06-08,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-08,Gym Membership
2021-03-21,2021-03-21,SILVER SNEAKERS ,2021-03-21,Gym Membership
2021-04-30,2021-04-30,Gold Monthly (No Commitment),2021-04-30,Gym Membership
2021-09-01,2021-09-01,Platinum Monthly (Pay w Routing/Acct Only),2021-09-01,Gym Membership
2021-02-14,2021-02-14,Platinum Paid in Full,2021-02-14,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-05-27,2021-05-27,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-27,Gym Membership
2021-02-22,2021-02-22,Platinum Monthly (Pay w Routing/Acct Only),2021-02-22,Gym Membership
2021-03-15,2021-03-15,Gold Monthly (Pay w/Routing&Acct Only),2021-03-15,Gym Membership
2021-03-12,2021-03-16,SILVER SNEAKERS ,2021-03-12,Gym Membership
2021-03-01,2021-03-01,SILVER SNEAKERS ,2021-03-01,Gym Membership
2021-02-05,2021-02-05,Platinum Monthly (Pay w Routing/Acct Only),2021-02-05,Gym Membership
2021-08-08,2021-08-08,Platinum Monthly (Pay w Routing/Acct Only),2021-08-08,Gym Membership
2021-04-07,2021-04-07,Platinum Monthly (Pay w Routing/Acct Only),2021-04-07,Gym Membership
2021-02-25,2021-02-25,SILVER SNEAKERS ,2021-02-25,Gym Membership
2021-03-12,2021-03-12,Platinum Monthly (Pay w Routing/Acct Only),2021-03-12,Gym Membership
2021-06-25,2021-06-25,SILVER SNEAKERS ,2021-06-25,Gym Membership
2021-02-22,2021-02-22,Gold Monthly (Pay w/Routing&Acct Only),2021-02-22,Gym Membership
2021-01-24,2021-01-24,Gold Monthly ($2.99 CC Fee),2021-01-24,Gym Membership
2021-09-10,2021-09-10,Gold Monthly ($2.99 Debit/CC Fee),2021-09-10,Gym Membership
2021-03-10,2021-03-10,Gold Monthly (Pay w/Routing&Acct Only),2021-03-10,Gym Membership
2021-06-03,2021-06-03,Gold Monthly (Pay w/Routing&Acct Only),2021-06-03,Gym Membership
2021-03-09,2021-03-09,SILVER SNEAKERS ,2021-03-09,Gym Membership
2021-03-01,2021-03-01,Platinum Monthly (Pay w Routing/Acct Only),2021-03-01,Gym Membership
2021-05-12,2021-05-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-12,Gym Membership
2021-09-19,2021-09-19,Gold Monthly (Pay w/Routing&Acct Only),2021-09-19,Gym Membership
2021-01-09,2021-01-09,Platinum Paid in Full ($10 Signup Limited Time Offer),2021-01-09,Gym Membership
2021-01-04,2021-01-04,Diamond Monthly (No Commitment) ,2021-01-04,Gym Membership
2021-04-10,2021-04-10,Gold Monthly (Pay w/Routing&Acct Only),2021-04-10,Gym Membership
2021-05-20,2021-05-20,Gold Monthly (Pay w/Routing&Acct Only),2021-05-20,Gym Membership
2021-06-22,2021-06-22,Platinum Monthly (Pay w Routing/Acct Only),2021-06-22,Gym Membership
2021-07-12,2021-07-12,Diamond Monthly (Pay w/Routing&Acct Only),2021-07-12,Gym Membership
2021-06-19,2021-06-19,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-19,Gym Membership
2021-10-18,2021-10-18,Platinum Monthly (Pay w Routing/Acct Only),2021-10-18,Gym Membership
2018-07-13,2021-01-04,Gold Monthly ($2.99 CC Fee),2021-01-04,Gym Membership
2021-04-07,2021-04-07,Platinum Monthly (Pay w Routing/Acct Only),2021-04-07,Gym Membership
2021-04-30,2021-04-30,Gold Monthly (No Commitment),2021-04-30,Gym Membership
2021-04-01,2021-04-01,Platinum Monthly (Pay w Routing/Acct Only),2021-04-01,Gym Membership
2021-06-08,2021-06-08,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-08,Gym Membership
2017-08-31,2021-01-31,Platinum Monthly ($2.99 CC Fee),2021-01-31,Gym Membership
2021-01-09,2021-01-09,Platinum Monthly (No Commitment),2021-01-09,Gym Membership
2021-07-20,2021-07-20,Platinum Monthly (Pay w Routing/Acct Only),2021-07-20,Gym Membership
2021-05-19,2021-05-19,Gold Monthly (Pay w/Routing&Acct Only),2021-05-19,Gym Membership
2021-03-29,2021-03-29,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-08-21,2021-08-21,Platinum Monthly (No Commitment),2021-08-21,Gym Membership
2021-06-17,2021-06-17,Gold Monthly (Pay w/Routing&Acct Only),2021-06-17,Gym Membership
2021-06-10,2021-06-10,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-10,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-21,Gym Membership
2021-04-30,2021-04-30,Gold Monthly (Pay w/Routing&Acct Only),2021-04-30,Gym Membership
2021-06-14,2021-06-14,Gold Monthly (Pay w/Routing&Acct Only),2021-06-14,Gym Membership
2021-04-22,2021-04-22,Gold Monthly (Pay w/Routing&Acct Only),2021-04-22,Gym Membership
2021-02-25,2021-02-25,Platinum Paid in Full,2021-02-25,Gym Membership
2019-04-01,2021-10-21,SILVER SNEAKERS ,2021-10-21,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly (Pay w Routing/Acct Only),2021-03-19,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (No Commitment),2021-03-26,Gym Membership
2021-03-25,2021-03-25,Gold Monthly (Pay w/Routing&Acct Only),2021-03-25,Gym Membership
2021-07-20,2021-07-20,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-20,Gym Membership
2021-03-27,2021-03-27,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-27,Gym Membership
2021-04-26,2021-04-26,Platinum Monthly (Pay w Routing/Acct Only),2021-04-26,Gym Membership
2021-01-18,2021-01-18,Diamond Monthly (No Commitment) ,2021-01-18,Gym Membership
2021-06-16,2021-06-16,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-16,Gym Membership
2021-04-14,2021-04-14,Platinum Monthly (No Commitment),2021-04-14,Gym Membership
2021-01-27,2021-01-27,Platinum Monthly ($2.99 CC Fee),2021-01-27,Gym Membership
2021-04-16,2021-04-16,Platinum Monthly (Pay w Routing/Acct Only),2021-04-16,Gym Membership
2021-03-11,2021-03-11,SILVER SNEAKERS ,2021-03-11,Gym Membership
2021-08-17,2021-08-17,Platinum Monthly (Pay w Routing/Acct Only),2021-08-17,Gym Membership
2021-02-09,2021-02-09,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-09,Gym Membership
2021-05-03,2021-05-03,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-03,Gym Membership
2021-04-09,2021-04-09,SILVER SNEAKERS ,2021-04-09,Gym Membership
2021-02-22,2021-02-22,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-22,Gym Membership
2021-02-24,2021-02-24,Gold Monthly (Pay w/Routing&Acct Only),2021-02-24,Gym Membership
2021-03-22,2021-03-22,Platinum Monthly (Pay w Routing/Acct Only),2021-03-22,Gym Membership
2021-07-21,2021-07-21,Gold Monthly (Pay w/Routing&Acct Only),2021-07-21,Gym Membership
2021-02-22,2021-02-22,Gold Monthly (Pay w/Routing&Acct Only),2021-02-22,Gym Membership
2021-06-28,2021-06-28,Platinum Monthly (Pay w Routing/Acct Only),2021-06-28,Gym Membership
2021-03-15,2021-03-15,Platinum Monthly (Pay w Routing/Acct Only),2021-03-15,Gym Membership
